Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Precious Achiuwa,C,23,TOR,55,1140,,,,17,83,-1.5,-3.8,8,21,53,19,59,7,128,15,31,2023
Steven Adams,C,29,MEM,42,1133,,,,,100,9.5,8.3,40,10,40,23,51,7,223,15,14,2023
Bam Adebayo,C,25,MIA,75,2598,,,,,100,1.7,5.4,61,46,86,50,196,10,587,37,49,2023
Ochai Agbaji,SG,22,UTA,59,1209,38,40,20,3,,-0.5,0.9,15,8,65,9,32,3,159,4,20,2023
Santi Aldama,PF,22,MEM,77,1682,,,2,69,29,2.2,-2.4,19,20,93,11,48,11,231,12,20,2023
Nickeil Alexander-Walker,SG,24,TOT,59,884,2,39,51,8,,-2.5,-2.0,38,9,59,3,25,23,262,6,13,2023
Nickeil Alexander-Walker,SG,24,UTA,36,528,,34,57,10,,-2.2,-1.2,31,8,38,3,16,16,183,3,5,2023
Nickeil Alexander-Walker,SG,24,MIN,23,356,5,48,42,5,,-2.9,-3.0,7,1,21,0,9,7,79,3,8,2023
Grayson Allen,SG,27,MIL,72,1972,5,75,21,,,5.7,4.1,49,11,68,1,44,23,409,7,22,2023
Jarrett Allen,C,24,CLE,68,2220,,,,,100,7.9,4.9,41,18,91,17,100,13,271,20,44,2023
Jose Alvarado,PG,24,NOP,61,1310,100,,,,,4.7,3.9,46,20,61,6,33,15,430,5,30,2023
Kyle Anderson,PF,29,MIN,69,1957,,,8,90,2,1.9,4.0,54,21,63,10,67,16,780,16,19,2023
Giannis Antetokounmpo,PF,28,MIL,63,2024,,,,59,41,7.4,7.8,71,62,69,59,385,5,927,98,82,2023
Thanasis Antetokounmpo,PF,30,MIL,37,206,,,16,52,32,-25.9,-31.1,1,2,10,4,9,0,39,0,5,2023
Cole Anthony,PG,22,ORL,60,1552,100,,,,,-0.6,3.6,43,28,83,6,76,8,558,20,22,2023
OG Anunoby,SF,25,TOR,67,2386,2,50,48,1,,2.1,2.4,55,29,88,29,79,15,307,19,65,2023
Ryan Arcidiacono,PG,28,TOT,20,172,85,15,,,,-10.3,-8.0,4,3,10,0,0,7,53,0,2,2023
Ryan Arcidiacono,PG,28,NYK,11,26,21,79,,,,7.4,4.3,0,1,1,0,0,0,5,0,0,2023
Ryan Arcidiacono,PG,28,POR,9,146,96,4,,,,-13.5,-10.2,4,2,9,0,0,7,48,0,2,2023
Deni Avdija,SF,22,WAS,76,2020,,8,62,30,,-0.6,1.3,62,30,129,23,78,6,502,21,36,2023
Deandre Ayton,C,24,PHO,67,2035,,,,3,97,-1.6,-6.8,23,41,117,35,96,0,279,24,39,2023
Udoka Azubuike,C,23,UTA,36,359,,,,2,99,-11.2,-11.1,2,5,29,2,9,0,24,2,3,2023
Marvin Bagley III,C,23,DET,42,990,,,,18,82,-11.0,-3.4,13,11,54,12,51,7,94,12,17,2023
Patrick Baldwin Jr.,SF,20,GSW,31,226,,1,22,69,9,-11.4,-14.0,5,0,9,3,3,1,27,0,3,2023
Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2023
LaMelo Ball,PG,21,CHO,36,1268,75,25,,,,-5.2,0.8,71,17,51,13,40,11,686,9,27,2023
Mo Bamba,C,24,TOT,49,769,,,,,100,0.8,4.1,11,9,69,8,27,0,111,7,14,2023
Mo Bamba,C,24,ORL,40,681,,,,,100,1.7,5.4,8,8,58,4,22,0,101,7,12,2023
Mo Bamba,C,24,LAL,9,88,,,,,100,-5.5,-6.2,3,1,11,4,5,0,10,0,2,2023
Paolo Banchero,PF,20,ORL,72,2430,,,27,70,3,-4.5,-4.4,79,78,90,22,258,8,634,53,92,2023
Desmond Bane,SG,24,MEM,58,1841,4,86,10,,,8.2,8.6,48,33,78,17,78,8,615,28,73,2023
Dalano Banton,PG,23,TOR,31,279,46,49,6,,,-6.6,-8.4,7,7,20,1,11,0,85,2,7,2023
Dominick Barlow,PF,19,SAS,28,408,,,13,55,32,-12.0,-2.1,5,4,40,5,12,2,59,5,8,2023
Harrison Barnes,PF,30,SAC,82,2662,,,16,84,,3.9,4.8,38,24,52,11,182,23,317,31,31,2023
Scottie Barnes,SF,21,TOR,77,2678,1,15,60,24,,3.0,5.5,99,25,80,13,119,18,888,30,47,2023
RJ Barrett,SG,22,NYK,73,2475,,30,69,1,,-0.6,-10.0,73,45,88,19,205,7,486,44,94,2023
Will Barton,SG,32,TOT,56,993,13,67,20,1,,-8.3,-9.1,27,11,36,1,18,2,263,3,25,2023
Will Barton,SG,32,WAS,40,782,3,72,24,1,,-8.6,-9.1,27,9,27,1,17,1,219,3,21,2023
Will Barton,SG,32,TOR,16,211,51,48,2,,,-7.3,-8.9,0,2,9,0,1,1,44,0,4,2023
Charles Bassey,C,22,SAS,35,508,,,,4,96,-3.6,7.5,14,7,41,13,17,0,112,5,4,2023
Keita Bates-Diop,PF,27,SAS,67,1452,,1,37,62,,-8.0,3.2,23,17,41,4,84,2,260,23,37,2023
Nicolas Batum,PF,34,LAC,78,1709,,,,60,41,4.8,7.4,30,5,67,8,21,5,302,5,5,2023
Darius Bazley,C,22,TOT,43,616,,,,16,84,-2.9,-4.3,12,9,24,1,38,3,96,6,26,2023
Darius Bazley,C,22,OKC,36,555,,,,15,85,-0.1,-1.4,10,6,17,1,35,3,80,5,24,2023
Darius Bazley,C,22,PHO,7,61,,,,28,72,-28.1,-30.4,2,3,7,0,3,0,16,1,2,2023
Bradley Beal,SG,29,WAS,50,1673,10,82,8,,,0.8,3.6,79,45,57,12,104,7,651,26,33,2023
Malik Beasley,SG,26,TOT,81,2093,29,63,9,,,-2.8,-3.2,48,29,56,6,26,6,302,10,26,2023
Malik Beasley,SG,26,UTA,55,1472,32,58,10,,,-3.3,-3.4,31,18,40,4,16,6,226,5,20,2023
Malik Beasley,SG,26,LAL,26,621,23,73,4,,,-1.8,-2.8,17,11,16,2,10,0,76,5,6,2023
MarJon Beauchamp,SF,22,MIL,52,701,1,30,56,13,1,-5.6,-11.2,16,11,37,7,18,3,91,2,17,2023
