Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Season
Precious Achiuwa,C,23,TOR,55.0,20.73,0.0,0.0,0.0,0.17,0.83,-1.5,-3.8,0.15,0.38,0.96,0.35,1.07,0.13,2.33,0.27,0.56,2023
Larry Nance Jr.,C,30,NOP,65.0,21.25,0.0,0.0,0.0,0.19,0.81,7.8,8.8,0.26,0.11,0.88,0.23,0.54,0.23,4.32,0.14,0.22,2023
Chuma Okeke,SF,24,ORL,27.0,19.19,0.05,0.52,0.4,0.03,0.0,-10.4,-8.7,0.26,0.11,0.89,0.04,0.33,0.04,3.41,0.04,0.15,2023
Royce O'Neale,SF,29,BRK,76.0,31.7,0.0,0.24,0.61,0.15,0.0,2.6,3.5,0.93,0.25,1.83,0.17,0.39,0.33,9.08,0.07,0.37,2023
Jordan Nwora,SF,24,TOT,62.0,19.16,0.0,0.04,0.4,0.56,0.01,-8.5,-10.1,0.4,0.35,0.79,0.11,0.79,0.06,3.34,0.27,0.48,2023
Jusuf Nurkić,C,28,POR,52.0,26.75,0.0,0.0,0.0,0.0,1.0,-0.3,5.2,0.85,0.62,1.9,0.65,1.83,0.15,7.0,0.62,0.65,2023
Kendrick Nunn,SG,27,TOT,70.0,13.77,0.13,0.72,0.14,0.01,0.0,-2.8,-3.0,0.54,0.26,0.57,0.03,0.24,0.11,2.97,0.04,0.43,2023
Frank Ntilikina,SG,24,DAL,47.0,12.91,0.17,0.59,0.24,0.01,0.0,5.9,6.7,0.26,0.15,0.81,0.04,0.34,0.13,3.19,0.06,0.15,2023
Jaylen Nowell,SG,23,MIN,65.0,19.26,0.15,0.61,0.22,0.01,0.0,-0.7,-0.8,0.58,0.22,0.83,0.08,0.78,0.22,4.78,0.28,0.58,2023
Nerlens Noel,C,28,TOT,17.0,11.47,0.0,0.0,0.0,0.02,0.98,-15.6,-9.6,0.24,0.29,1.24,0.18,0.24,0.35,1.35,0.0,0.12,2023
Zeke Nnaji,PF,22,DEN,53.0,13.74,0.0,0.0,0.0,0.23,0.77,-5.8,-11.1,0.11,0.06,1.21,0.32,0.47,0.02,0.85,0.09,0.23,2023
Daishen Nix,PG,20,HOU,57.0,16.04,0.83,0.17,0.0,0.0,0.0,-7.8,0.7,1.04,0.3,0.56,0.09,0.26,0.07,5.33,0.04,0.21,2023
Georges Niang,PF,29,PHI,78.0,19.38,0.0,0.0,0.01,0.94,0.05,1.7,-5.0,0.35,0.09,1.01,0.13,0.26,0.12,2.38,0.1,0.17,2023
Raul Neto,PG,30,CLE,48.0,10.52,1.0,0.0,0.0,0.0,0.0,2.7,-3.4,0.35,0.1,0.5,0.02,0.23,0.29,4.0,0.04,0.1,2023
Aaron Nesmith,SF,23,IND,73.0,24.88,0.0,0.02,0.35,0.63,0.0,-5.4,-3.6,0.47,0.18,1.84,0.15,0.82,0.47,3.26,0.16,0.63,2023
Andrew Nembhard,SG,23,IND,75.0,27.64,0.29,0.7,0.01,0.0,0.0,-6.2,-5.8,1.12,0.27,1.0,0.09,0.35,0.4,10.76,0.16,0.33,2023
Svi Mykhailiuk,SF,25,TOT,32.0,14.62,0.01,0.23,0.69,0.07,0.01,1.6,7.2,0.34,0.31,0.41,0.09,0.47,0.09,3.97,0.12,0.34,2023
Onyeka Okongwu,C,22,ATL,80.0,23.11,0.0,0.0,0.0,0.01,1.0,2.3,3.4,0.28,0.21,2.04,0.39,1.15,0.04,2.55,0.28,0.54,2023
Mike Muscala,C,31,TOT,63.0,15.0,0.0,0.0,0.0,0.09,0.91,9.0,7.1,0.11,0.05,0.83,0.19,0.29,0.05,1.92,0.02,0.16,2023
Keegan Murray,SF,22,SAC,80.0,29.78,0.0,0.02,0.84,0.14,0.0,1.3,-2.6,0.4,0.14,1.4,0.05,0.52,0.24,2.98,0.19,0.5,2023
Jamal Murray,PG,25,DEN,65.0,32.82,0.81,0.19,0.0,0.0,0.0,6.2,6.2,1.45,0.45,0.92,0.12,1.0,0.26,14.2,0.14,0.54,2023
Dejounte Murray,SG,26,ATL,74.0,36.39,0.29,0.7,0.01,0.0,0.0,-1.2,-5.0,1.15,0.76,0.73,0.08,1.26,0.08,14.08,0.35,0.77,2023
Trey Murphy III,SF,22,NOP,79.0,30.99,0.0,0.07,0.62,0.32,0.0,0.6,-4.0,0.35,0.19,1.22,0.14,0.92,0.2,3.3,0.28,0.29,2023
Monte Morris,PG,27,WAS,62.0,27.34,1.0,0.0,0.0,0.0,0.0,0.1,2.4,0.68,0.19,0.55,0.03,0.48,0.24,12.4,0.18,0.31,2023
Markieff Morris,PF,33,TOT,35.0,10.14,0.0,0.0,0.07,0.57,0.36,2.5,1.8,0.29,0.03,0.66,0.14,0.09,0.03,1.94,0.0,0.0,2023
Marcus Morris,PF,33,LAC,65.0,28.08,0.0,0.0,0.11,0.81,0.08,-0.8,-2.7,0.28,0.25,1.05,0.15,0.49,0.11,4.35,0.14,0.23,2023
Ja Morant,PG,23,MEM,61.0,31.93,0.79,0.21,0.0,0.0,0.0,6.9,6.5,1.82,0.75,0.75,0.16,3.84,0.41,19.18,1.02,1.38,2023
Wendell Moore Jr.,SG,21,MIN,29.0,5.28,0.18,0.28,0.44,0.1,0.0,-12.7,-13.1,0.17,0.03,0.24,0.0,0.07,0.1,1.55,0.0,0.1,2023
Xavier Moon,SG,28,LAC,4.0,5.0,0.17,0.83,0.0,0.0,0.0,-25.0,-25.7,0.25,0.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,2023
Moses Moody,SG,20,GSW,63.0,12.97,0.0,0.47,0.51,0.02,0.0,-0.7,-3.2,0.32,0.1,0.48,0.02,0.48,0.14,2.02,0.19,0.16,2023
Malik Monk,SG,24,SAC,77.0,22.32,0.02,0.92,0.06,0.0,0.0,1.1,-2.1,1.13,0.42,0.91,0.17,1.06,0.09,9.01,0.25,0.69,2023
Chima Moneke,SF,27,SAC,2.0,4.0,0.0,0.0,1.0,0.0,0.0,-48.2,-50.6,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,2023
Josh Okogie,SG,24,PHO,72.0,18.75,0.06,0.86,0.08,0.0,0.0,5.1,5.0,0.42,0.21,0.82,0.07,1.17,0.53,3.51,0.1,0.36,2023
Isaac Okoro,SF,22,CLE,76.0,21.74,0.0,0.21,0.73,0.06,0.0,6.1,0.7,0.18,0.14,0.89,0.05,0.75,0.13,2.62,0.2,0.21,2023
Evan Mobley,PF,21,CLE,79.0,34.37,0.0,0.0,0.0,0.56,0.44,6.5,2.4,0.52,0.65,1.78,0.3,1.96,0.13,6.71,0.44,0.8,2023
Michael Porter Jr.,SF,24,DEN,62.0,29.0,0.0,0.0,0.96,0.04,0.0,10.1,12.7,0.42,0.32,1.26,0.13,0.94,0.0,2.52,0.24,0.47,2023
Lester Quinones,SG,22,GSW,4.0,4.5,0.5,0.5,0.0,0.0,0.0,17.9,16.2,0.5,0.25,0.0,0.0,0.75,0.0,1.0,0.0,0.0,2023
Immanuel Quickley,SG,23,NYK,81.0,28.94,0.26,0.73,0.01,0.0,0.0,6.7,8.6,0.6,0.22,0.95,0.09,1.46,0.12,8.49,0.42,0.38,2023
Neemias Queta,C,23,SAC,5.0,5.8,0.0,0.0,0.0,0.0,1.0,-36.0,-38.6,0.0,0.2,1.0,0.0,0.2,0.2,0.4,0.0,0.0,2023
Trevelin Queen,SG,25,IND,7.0,10.0,0.4,0.6,0.0,0.0,0.0,7.4,11.0,0.29,0.57,0.43,0.0,0.14,0.29,2.0,0.0,0.14,2023
Payton Pritchard,PG,25,BOS,48.0,13.4,1.0,0.0,0.0,0.0,0.0,1.0,-6.6,0.44,0.19,0.33,0.0,0.15,0.04,3.38,0.02,0.19,2023
Taurean Prince,PF,28,MIN,54.0,22.07,0.0,0.02,0.45,0.52,0.0,1.3,2.2,0.61,0.28,1.28,0.15,0.7,0.43,3.63,0.24,0.26,2023
Joshua Primo,SG,20,SAS,4.0,23.25,0.02,0.6,0.39,0.0,0.0,-0.4,9.9,1.5,0.75,1.5,0.0,1.25,1.25,11.25,0.25,1.0,2023
Jason Preston,PG,23,LAC,14.0,8.86,1.0,0.0,0.0,0.0,0.0,-5.6,-6.5,0.36,0.29,0.43,0.0,0.0,0.07,4.36,0.0,0.0,2023
Norman Powell,SG,29,LAC,60.0,26.12,0.25,0.67,0.07,0.0,0.0,-3.3,-6.5,0.58,0.67,0.9,0.25,2.0,0.17,4.52,0.32,0.65,2023
Dwight Powell,C,31,DAL,76.0,19.18,0.0,0.0,0.0,0.0,1.0,6.2,9.3,0.2,0.18,1.82,0.37,0.91,0.21,2.22,0.21,0.22,2023
Micah Potter,PF,24,UTA,7.0,7.43,0.0,0.0,0.0,0.97,0.03,-1.7,-0.7,0.14,0.14,0.57,0.0,0.0,0.14,1.29,0.0,0.0,2023
Kristaps Porziņģis,C,27,WAS,65.0,32.62,0.0,0.0,0.0,0.0,1.0,1.6,6.2,0.8,0.62,1.72,0.48,2.69,0.12,6.45,0.78,0.88,2023
Bobby Portis,PF,27,MIL,70.0,25.97,0.0,0.0,0.06,0.81,0.12,0.4,-5.9,0.31,0.34,0.79,0.21,0.73,0.01,3.93,0.16,0.49,2023
Otto Porter Jr.,SF,29,TOR,8.0,18.25,0.1,0.75,0.14,0.0,0.0,-9.8,-11.4,0.25,0.12,0.38,0.0,0.5,0.38,2.25,0.25,0.0,2023
Kevin Porter Jr.,PG,22,HOU,59.0,34.31,0.99,0.01,0.0,0.0,0.0,-8.8,-1.1,1.92,0.86,0.98,0.2,1.98,0.2,13.71,0.53,1.05,2023
KZ Okpala,PF,23,SAC,35.0,7.09,0.0,0.01,0.65,0.35,0.0,3.7,1.5,0.11,0.03,0.49,0.03,0.11,0.2,0.89,0.0,0.06,2023
Jordan Poole,PG,23,GSW,82.0,29.98,0.64,0.36,0.0,0.0,0.0,-0.8,-7.1,1.3,0.94,0.96,0.35,2.15,0.2,11.05,0.5,0.91,2023
Aleksej Pokusevski,PF,21,OKC,34.0,20.62,0.0,0.0,0.01,0.21,0.79,-13.0,-17.3,0.65,0.29,1.12,0.06,0.44,0.03,4.44,0.03,0.24,2023
Jakob Poeltl,C,27,TOT,72.0,26.47,0.0,0.0,0.0,0.0,1.0,-3.5,2.8,0.83,0.44,1.75,0.36,1.29,0.06,6.19,0.35,0.47,2023
Mason Plumlee,C,32,TOT,79.0,26.0,0.0,0.0,0.0,0.0,1.0,-6.0,-2.8,0.62,0.32,1.48,0.38,1.9,0.11,7.27,0.48,0.48,2023
Scotty Pippen Jr.,PG,22,LAL,6.0,5.33,1.0,0.0,0.0,0.0,0.0,-6.2,-6.8,0.33,0.0,0.17,0.0,0.67,0.0,0.83,0.17,0.33,2023
Theo Pinson,SG,27,DAL,40.0,8.07,0.02,0.16,0.41,0.36,0.05,-5.1,-5.9,0.18,0.05,0.42,0.02,0.08,0.08,2.88,0.02,0.12,2023
Gary Payton II,SG,30,TOT,22.0,16.68,0.02,0.76,0.22,0.0,0.0,5.1,7.5,0.23,0.18,0.86,0.23,0.09,0.05,3.5,0.05,0.05,2023
Cameron Payne,PG,28,PHO,48.0,20.17,0.98,0.02,0.0,0.0,0.0,2.7,1.3,1.02,0.19,0.65,0.19,0.65,0.48,10.29,0.1,0.44,2023
Chris Paul,PG,37,PHO,59.0,32.02,1.0,0.0,0.0,0.0,0.0,1.8,0.0,1.37,0.34,1.0,0.12,0.44,0.14,20.9,0.07,0.1,2023
Kelly Oubre Jr.,SF,27,CHO,48.0,32.25,0.0,0.58,0.42,0.0,0.0,-7.7,-3.2,0.46,0.58,1.27,0.15,2.23,0.52,2.58,0.77,1.15,2023
Cedi Osman,SF,27,CLE,77.0,20.1,0.0,0.05,0.56,0.39,0.0,7.1,2.3,0.27,0.21,0.73,0.08,0.57,0.34,3.58,0.16,0.29,2023
Eugene Omoruyi,SF,25,TOT,40.0,16.12,0.0,0.02,0.37,0.57,0.05,-3.5,1.0,0.35,0.18,1.1,0.18,0.8,0.45,1.58,0.2,0.55,2023
Kelly Olynyk,C,31,UTA,68.0,28.56,0.0,0.0,0.0,0.48,0.52,0.0,2.1,1.1,0.59,1.78,0.47,1.31,0.37,8.91,0.41,0.44,2023
Victor Oladipo,SG,30,MIA,42.0,26.33,0.14,0.61,0.24,0.0,0.0,-1.5,-1.8,1.21,0.48,1.43,0.05,0.74,0.31,8.21,0.12,0.38,2023
Isaiah Mobley,PF,23,CLE,12.0,7.0,0.0,0.0,0.15,0.64,0.21,18.3,12.9,0.0,0.0,0.42,0.08,0.17,0.08,0.67,0.0,0.17,2023
Donovan Mitchell,SG,26,CLE,68.0,35.76,0.3,0.69,0.01,0.0,0.0,6.0,0.9,1.38,0.85,1.09,0.24,2.07,0.21,10.31,0.63,0.82,2023
Kevin Knox,SF-PF,23,TOT,63.0,15.11,0.0,0.01,0.2,0.68,0.11,-12.0,-5.8,0.17,0.32,0.87,0.1,0.4,0.02,1.24,0.08,0.19,2023
Kawhi Leonard,SF,31,LAC,52.0,33.62,0.01,0.45,0.46,0.09,0.0,5.9,9.3,0.65,0.56,0.85,0.13,2.37,0.08,9.9,0.63,0.48,2023
Théo Maledon,PG,21,CHO,44.0,19.41,1.0,0.0,0.0,0.0,0.0,-8.1,-2.9,0.84,0.25,0.77,0.05,0.68,0.11,8.16,0.2,0.34,2023
Trey Lyles,PF,27,SAC,74.0,16.85,0.0,0.0,0.0,0.6,0.4,3.5,1.8,0.46,0.09,0.77,0.15,0.77,0.15,2.16,0.22,0.28,2023
Kyle Lowry,PG,36,MIA,55.0,31.24,1.0,0.0,0.0,0.0,0.0,1.3,2.7,1.27,0.29,1.25,0.07,1.02,0.53,11.93,0.33,0.44,2023
