,Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
0,Stephen Curry, Point Guard, Right,1988-03-14,Davidson,2009-10-28,14.0,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,188.0,83.0,Golden State Warriors,2009,1st round
1,Kevin Durant," Small Forward, Power Forward, and Shooting Guard", Right,1988-09-29,Texas,2007-10-31,15.0,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,208.0,108.0,Seattle SuperSonics,2007,1st round
2,Nikola Jokić, Center, Right,1995-02-19,No College,2015-10-28,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,211.0,128.0,Denver Nuggets,2014,2nd round
3,Joel Embiid, Center, Right,1994-03-16,Kansas,2016-10-26,7.0,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,213.0,127.0,Philadelphia 76ers,2014,1st round
4,LeBron James," Small Forward, Power Forward, Point Guard, Center, and Shooting Guard", Right,1984-12-30,No College,2003-10-29,20.0,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,206.0,113.0,Cleveland Cavaliers,2003,1st round
5,Bradley Beal, Shooting Guard, Right,1993-06-28,Florida,2012-10-30,11.0,https://www.basketball-reference.com/req/202106291/images/headshots/bealbr01.jpg,193.0,93.0,Washington Wizards,2012,1st round
6,Damian Lillard, Point Guard, Right,1990-07-15,Weber State,2012-10-31,11.0,https://www.basketball-reference.com/req/202106291/images/headshots/lillada01.jpg,188.0,88.0,Portland Trail Blazers,2012,1st round
7,Giannis Antetokounmpo," Power Forward, Small Forward, Point Guard, and Shooting Guard", Right,1994-12-06,No College,2013-10-30,10.0,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,213.0,109.0,Milwaukee Bucks,2013,1st round
8,Kawhi Leonard, Small Forward, Right,1991-06-29,San Diego State,2011-12-26,11.0,https://www.basketball-reference.com/req/202106291/images/headshots/leonaka01.jpg,201.0,102.0,Indiana Pacers,2011,1st round
9,Paul George," Small Forward, Shooting Guard, and Power Forward", Right,1990-05-02,Fresno State,2010-10-27,13.0,https://www.basketball-reference.com/req/202106291/images/headshots/georgpa01.jpg,203.0,99.0,Indiana Pacers,2010,1st round
10,Jimmy Butler," Small Forward, Shooting Guard, and Power Forward", Right,1989-09-14,Marquette,2012-01-01,12.0,https://www.basketball-reference.com/req/202106291/images/headshots/butleji01.jpg,201.0,104.0,Chicago Bulls,2011,1st round
11,Klay Thompson, Shooting Guard and Small Forward, Right,1990-02-08,Washington State,2011-12-25,10.0,https://www.basketball-reference.com/req/202106291/images/headshots/thompkl01.jpg,198.0,97.0,Golden State Warriors,2011,1st round
12,Rudy Gobert, Center, Right,1992-06-26,No College,2013-10-30,10.0,https://www.basketball-reference.com/req/202106291/images/headshots/goberru01.jpg,216.0,117.0,Denver Nuggets,2013,1st round
13,Fred VanVleet, Point Guard and Shooting Guard, Right,1994-02-25,Wichita State,2016-11-09,7.0,https://www.basketball-reference.com/req/202106291/images/headshots/vanvlfr01.jpg,185.0,89.0,Not Drafted,Not Drafted,Not Drafted
14,Anthony Davis, Center and Power Forward, Right,1993-03-11,Kentucky,2012-10-31,11.0,https://www.basketball-reference.com/req/202106291/images/headshots/davisan02.jpg,208.0,114.0,New Orleans Hornets,2012,1st round
15,Trae Young, Point Guard, Right,1998-09-19,Oklahoma,2018-10-17,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/youngtr01.jpg,185.0,74.0,Dallas Mavericks,2018,1st round
16,Luka Dončić, Point Guard and Shooting Guard, Right,1999-02-28,No College,2018-10-17,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/doncilu01.jpg,201.0,104.0,Atlanta Hawks,2018,1st round
17,Zach LaVine," Shooting Guard, Small Forward, and Point Guard", Right,1995-03-10,UCLA,2014-10-30,9.0,https://www.basketball-reference.com/req/202106291/images/headshots/lavinza01.jpg,196.0,90.0,Minnesota Timberwolves,2014,1st round
18,Tobias Harris, Power Forward and Small Forward, Right,1992-07-15,Tennessee,2012-01-07,12.0,https://www.basketball-reference.com/req/202106291/images/headshots/harrito02.jpg,203.0,102.0,Charlotte Bobcats,2011,1st round
19,Ben Simmons, Point Guard, Left,1996-07-20,LSU,2017-10-18,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/simmobe01.jpg,208.0,108.0,Philadelphia 76ers,2016,1st round
20,Pascal Siakam, Power Forward, Right,1994-04-02,New Mexico State,2016-10-26,7.0,https://www.basketball-reference.com/req/202106291/images/headshots/siakapa01.jpg,206.0,104.0,Toronto Raptors,2016,1st round
