Player,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Versatility Score,Blocks/Foul Ratio,And1 Efectiveness,AST/TOV Ratio,ORB/DRB,Net Plus Minus,3P Shots Attempted %,2P Shots Attempted %,PF Efficiency,Points per Shot attempted,Starting Percentage
Precious Achiuwa,12,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,2023,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,C,23,TOR,55.0,20.73,0.0,0.0,0.0,0.17,0.83,-1.5,-3.8,0.15,0.38,0.96,0.35,1.07,0.13,2.33,0.27,0.56,0.4559,0.5208,0.2523,6.0,0.439,-0.6,0.2703,0.7297,0.5789,1.0274,0.2182
Larry Nance Jr.,1,2.9,4.7,0.61,0.2,0.6,0.333,2.6,4.0,0.654,0.633,0.8,1.2,0.696,1.6,3.8,5.4,1.8,0.9,0.6,0.6,2.0,6.8,2023,16.0,0.649,0.138,0.259,8.7,20.3,14.5,11.7,2.0,2.6,11.0,11.9,2.8,2.1,4.9,0.171,0.0,2.0,2.0,1.4,C,30,NOP,65.0,21.25,0.0,0.0,0.0,0.19,0.81,7.8,8.8,0.26,0.11,0.88,0.23,0.54,0.23,4.32,0.14,0.22,0.4862,0.6818,0.2593,6.923076923076923,0.4211,-2.0,0.1304,0.8696,0.75,1.234,0.0154
Chuma Okeke,8,1.6,4.5,0.352,1.0,3.2,0.302,0.6,1.3,0.472,0.459,0.6,0.8,0.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7,2023,9.1,0.488,0.705,0.172,5.7,15.3,10.5,9.4,1.8,2.1,11.5,12.3,0.0,0.6,0.7,0.061,-2.4,0.8,-1.6,0.1,SF,24,ORL,27.0,19.19,0.05,0.52,0.4,0.03,0.0,-10.4,-8.7,0.26,0.11,0.89,0.04,0.33,0.04,3.41,0.04,0.15,0.9615,0.4494,0.1212,5.384615384615384,0.3846,-3.2,0.7111,0.2889,0.7333,0.9333,0.2963
Royce O'Neale,53,3.0,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.524,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,2023,9.2,0.538,0.707,0.116,2.6,15.0,9.0,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,0.057,-1.7,0.6,-1.1,0.5,SF,29,BRK,76.0,31.7,0.0,0.24,0.61,0.15,0.0,2.6,3.5,0.93,0.25,1.83,0.17,0.39,0.33,9.08,0.07,0.37,0.9286,0.3279,0.1795,3.978494623655914,0.1628,-2.3,0.7051,0.2949,0.4839,1.0385,0.6974
Jordan Nwora,14,3.1,7.2,0.436,1.4,3.4,0.408,1.7,3.8,0.462,0.533,1.1,1.4,0.791,0.8,2.9,3.7,1.4,0.4,0.2,1.1,1.2,8.7,2023,12.2,0.561,0.474,0.193,4.7,15.8,10.4,10.5,1.0,1.0,12.0,19.4,0.5,1.0,1.5,0.06,-0.8,-1.3,-2.1,0.0,SF,24,TOT,62.0,19.16,0.0,0.04,0.4,0.56,0.01,-8.5,-10.1,0.4,0.35,0.79,0.11,0.79,0.06,3.34,0.27,0.48,0.866,0.2532,0.3418,3.4999999999999996,0.2759,0.5,0.4722,0.5278,0.5,1.0556,0.2258
Jusuf Nurkić,52,5.0,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,2023,17.3,0.589,0.236,0.38,9.3,29.7,19.5,16.4,1.5,2.8,16.8,22.1,1.2,1.5,2.7,0.092,-0.6,0.7,0.1,0.7,C,28,POR,52.0,26.75,0.0,0.0,0.0,0.0,1.0,-0.3,5.2,0.85,0.62,1.9,0.65,1.83,0.15,7.0,0.62,0.65,-0.0,0.4211,0.3388,3.411764705882353,0.3188,-1.3,0.2371,0.7629,0.4444,1.1134,1.0
Kendrick Nunn,2,2.7,6.4,0.424,1.1,3.2,0.354,1.6,3.2,0.493,0.512,0.5,0.6,0.854,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9,7.1,2023,11.1,0.53,0.496,0.091,1.8,10.3,6.2,13.8,1.4,0.6,12.4,23.7,-0.6,0.8,0.2,0.008,-2.0,-1.5,-3.5,-0.4,SG,27,TOT,70.0,13.77,0.13,0.72,0.14,0.01,0.0,-2.8,-3.0,0.54,0.26,0.57,0.03,0.24,0.11,2.97,0.04,0.43,0.8231,0.1754,0.1667,2.4074074074074074,0.1538,-0.5,0.5,0.5,0.5556,1.0156,0.0286
Frank Ntilikina,5,1.0,2.8,0.364,0.4,1.4,0.254,0.7,1.4,0.477,0.428,0.5,0.7,0.667,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.9,2023,5.2,0.461,0.508,0.25,1.3,10.7,5.9,12.8,1.3,1.0,16.5,13.1,-0.5,0.4,-0.1,-0.01,-6.1,-0.7,-6.7,-0.7,SG,24,DAL,47.0,12.91,0.17,0.59,0.24,0.01,0.0,5.9,6.7,0.26,0.15,0.81,0.04,0.34,0.13,3.19,0.06,0.15,1.0011,0.1235,0.1765,4.615384615384615,0.0833,-5.4,0.5,0.5,0.2857,0.9286,0.1064
Jaylen Nowell,2,4.3,9.6,0.448,1.0,3.6,0.289,3.3,6.0,0.542,0.502,1.2,1.5,0.778,0.6,2.1,2.6,2.0,0.6,0.1,1.0,1.6,10.8,2023,13.7,0.527,0.371,0.158,3.3,11.7,7.6,15.9,1.6,0.3,8.9,25.0,0.0,1.2,1.2,0.046,-1.5,-1.0,-2.5,-0.2,SG,23,MIN,65.0,19.26,0.15,0.61,0.22,0.01,0.0,-0.7,-0.8,0.58,0.22,0.83,0.08,0.78,0.22,4.78,0.28,0.58,0.9652,0.1205,0.359,3.4482758620689657,0.2857,-0.5,0.375,0.625,0.4375,1.0,0.0308
Nerlens Noel,4,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2.0,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,2023,7.9,0.424,0.056,0.333,5.6,21.0,13.1,6.7,4.0,4.5,23.9,12.0,-0.3,0.3,0.0,0.007,-6.5,2.6,-3.8,-0.1,C,28,TOT,17.0,11.47,0.0,0.0,0.0,0.02,0.98,-15.6,-9.6,0.24,0.29,1.24,0.18,0.24,0.35,1.35,0.0,0.12,0.098,0.4839,0.0,2.5,0.2857,-9.1,0.0476,0.9524,0.7895,0.8095,0.2353
