Player,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Fouls Commited Shoot,Fouls Commited Off,Fouls Drawn Shoot,Fouls Drawn Off,PGA,And1,Blkd,Versatility Score,Blocks/Foul Ratio,And1 Efectiveness,AST/TOV Ratio,ORB/DRB,Net Plus Minus,3P Shots Attempted %,2P Shots Attempted %,PF Efficiency,Points per Shot attempted,Starting Percentage
Precious Achiuwa,0.4889867841409692,0.5925110132158591,0.5671806167400881,0.6464757709251101,0.289647577092511,0.3645374449339207,0.17841409691629956,0.6784140969162996,0.6806167400881057,0.6321585903083701,0.3590308370044053,0.6651982378854625,0.6883259911894273,0.2555066079295154,0.8799559471365639,0.8061674008810573,0.8425110132158591,0.2422907488986784,0.4966960352422907,0.7257709251101322,0.4196035242290749,0.42731277533039647,0.5649779735682819,0.501101321585903,0.670704845814978,0.3524229074889868,0.2599118942731278,0.7004405286343612,0.8458149779735683,0.9085903083700441,0.8755506607929515,0.16299559471365638,0.43392070484581496,0.7830396475770925,0.5682819383259912,0.6321585903083701,0.486784140969163,0.6057268722466961,0.526431718061674,0.5275330396475771,0.44383259911894274,0.2643171806167401,0.31497797356828194,0.2610132158590308,0.10792951541850221,0.289647577092511,0.7797356828193832,0.4118942731277533,0.5088105726872246,0.2918502202643172,0.22577092511013216,0.21145374449339208,0.6541850220264317,0.8392070484581498,0.43281938325991187,0.31057268722466963,0.8832599118942731,0.25110132158590304,0.4680616740088106,0.12885462555066074,0.7026431718061674,0.5352422907488987,0.27312775330396477,0.6861233480176211,0.2533039647577092,0.34140969162995594,0.7731277533039648,0.566079295154185,0.8744493392070485,0.7665198237885462,0.5803964757709251,0.2665198237885463,0.73568281938326,0.5495594713656388,0.28744493392070486,0.4713656387665198
Larry Nance Jr.,0.1618942731277533,0.4746696035242291,0.30947136563876654,0.9251101321585903,0.1618942731277533,0.14757709251101322,0.3997797356828194,0.6145374449339207,0.5330396475770925,0.9317180616740088,0.9295154185022027,0.381057268722467,0.42731277533039647,0.236784140969163,0.8325991189427313,0.7676211453744494,0.8006607929515418,0.5737885462555066,0.7698237885462555,0.7962555066079295,0.7698237885462555,0.3744493392070485,0.40308370044052866,0.501101321585903,0.7213656387665198,0.8986784140969163,0.1486784140969163,0.5870044052863436,0.8138766519823789,0.8138766519823789,0.816079295154185,0.5275330396475771,0.8403083700440529,0.7830396475770925,0.6156387665198237,0.09581497797356828,0.8127753303964758,0.7841409691629956,0.8171806167400881,0.9140969162995595,0.6872246696035242,0.9548458149779736,0.8711453744493393,0.8116740088105727,0.10792951541850221,0.8083700440528634,0.5198237885462555,0.6156387665198237,0.5176211453744494,0.2918502202643172,0.22577092511013216,0.21145374449339208,0.6651982378854625,0.8303964757709251,0.9504405286343612,0.9416299559471366,0.711453744493392,0.8127753303964758,0.5660792951541851,0.26762114537444937,0.44052863436123346,0.75,0.5682819383259912,0.43832599118942733,0.7092511013215859,0.36123348017621143,0.8766519823788547,0.6013215859030837,0.9383259911894273,0.7477973568281938,0.32709251101321585,0.14096916299559473,0.8612334801762115,0.7841409691629956,0.8898678414096917,0.12555066079295155
Chuma Okeke,0.41519823788546256,0.16079295154185022,0.2841409691629956,0.024229074889867842,0.5407488986784141,0.5848017621145375,0.24669603524229075,0.06497797356828194,0.07709251101321586,0.15748898678414097,0.08370044052863436,0.2610132158590308,0.24669603524229075,0.46365638766519823,0.6607929515418502,0.526431718061674,0.538546255506608,0.45484581497797355,0.6046255506607929,0.6178414096916299,0.7698237885462555,0.6640969162995595,0.20594713656387664,0.501101321585903,0.12555066079295155,0.07268722466960352,0.9372246696035242,0.30837004405286345,0.6806167400881057,0.6013215859030837,0.6354625550660793,0.4063876651982379,0.7951541850220264,0.7147577092511013,0.5550660792951542,0.10903083700440529,0.17841409691629956,0.289647577092511,0.23788546255506607,0.30286343612334804,0.2544052863436123,0.7852422907488987,0.41629955947136565,0.42731277533039647,0.6751101321585903,0.3909691629955947,0.6068281938325991,0.10242290748898679,0.43171806167400884,0.6762114537444934,0.8303964757709251,0.7830396475770925,0.513215859030837,0.28083700440528636,0.07709251101321586,0.13325991189427314,0.711453744493392,0.8127753303964758,0.5572687224669604,0.8612334801762115,0.2301762114537445,0.16079295154185022,0.46255506607929514,0.1211453744493392,0.8568281938325991,0.9030837004405287,0.6751101321585903,0.09361233480176212,0.8105726872246696,0.6960352422907489,0.18502202643171806,0.9427312775330396,0.05947136563876652,0.7720264317180616,0.1013215859030837,0.5286343612334802
Royce O'Neale,0.7334801762114538,0.4889867841409692,0.6189427312775331,0.0881057268722467,0.8689427312775331,0.8623348017621145,0.7742290748898678,0.14537444933920704,0.2599118942731278,0.022026431718061675,0.3777533039647577,0.32819383259911894,0.29295154185022027,0.32599118942731276,0.46365638766519823,0.8281938325991189,0.7797356828193832,0.8138766519823789,0.7698237885462555,0.7962555066079295,0.27312775330396477,0.04735682819383258,0.5319383259911894,0.501101321585903,0.13105726872246695,0.2720264317180617,0.9405286343612335,0.12334801762114538,0.30726872246696035,0.5925110132158591,0.5176211453744494,0.6596916299559471,0.43392070484581496,0.6409691629955947,0.19052863436123346,0.1762114537444934,0.33259911894273125,0.8645374449339207,0.6420704845814978,0.2753303964757709,0.3986784140969163,0.7037444933920705,0.4977973568281938,0.6277533039647577,0.6751101321585903,0.7555066079295154,0.06828193832599119,0.8656387665198237,0.8259911894273128,0.2918502202643172,0.6916299559471366,0.8920704845814978,0.6409691629955947,0.28083700440528636,0.7136563876651982,0.75,0.18722466960352424,0.45374449339207046,0.022026431718061623,0.4096916299559471,0.2753303964757709,0.8557268722466961,0.8259911894273128,0.20704845814977973,0.4548458149779736,0.8612334801762115,0.4779735682819383,0.20704845814977973,0.5308370044052864,0.15528634361233482,0.2720264317180617,0.9361233480176211,0.06607929515418502,0.3568281938325991,0.3568281938325991,0.6828193832599119
Jordan Nwora,0.5066079295154186,0.5022026431718062,0.5616740088105727,0.33370044052863435,0.6861233480176211,0.6211453744493393,0.8843612334801763,0.42400881057268724,0.5154185022026432,0.1222466960352423,0.42731277533039647,0.512114537444934,0.4966960352422907,0.5892070484581498,0.5374449339207048,0.5936123348017621,0.5572687224669604,0.45484581497797355,0.26762114537444937,0.30066079295154186,0.4196035242290749,0.8215859030837005,0.5231277533039648,0.501101321585903,0.4063876651982379,0.40198237885462557,0.6343612334801763,0.3590308370044053,0.6046255506607929,0.6266519823788547,0.6244493392070485,0.4647577092511013,0.2026431718061674,0.35462555066079293,0.48788546255506604,0.6321585903083701,0.3711453744493392,0.4581497797356828,0.40198237885462557,0.29515418502202645,0.5550660792951542,0.14096916299559473,0.3436123348017621,0.3502202643171806,0.6751101321585903,0.3909691629955947,0.8700440528634361,0.5440528634361234,0.42731277533039647,0.2918502202643172,0.5341409691629956,0.7830396475770925,0.829295154185022,0.5781938325991189,0.1277533039647577,0.08590308370044053,0.5297356828193833,0.2819383259911894,0.6574889867841409,0.5947136563876652,0.5759911894273128,0.2555066079295154,0.44052863436123346,0.6861233480176211,0.3325991189427313,0.7863436123348018,0.32599118942731276,0.8546255506607929,0.3997797356828194,0.501101321585903,0.7202643171806168,0.6343612334801763,0.36784140969163,0.3909691629955947,0.41409691629955947,0.4812775330396476
Jusuf Nurkić,0.7279735682819384,0.7544052863436124,0.7224669603524229,0.7742290748898678,0.4460352422907489,0.41740088105726875,0.5770925110132159,0.8072687224669604,0.7918502202643172,0.6519823788546255,0.6420704845814978,0.7918502202643172,0.8502202643171806,0.15088105726872247,0.9317180616740088,0.9669603524229075,0.9570484581497798,0.7389867841409692,0.6938325991189427,0.8854625550660793,0.11343612334801767,0.0033039647577092213,0.751101321585903,0.501101321585903,0.7995594713656388,0.6068281938325991,0.21585903083700442,0.8502202643171806,0.8458149779735683,0.9779735682819384,0.9570484581497798,0.6949339207048458,0.5947136563876652,0.8138766519823789,0.11563876651982374,0.776431718061674,0.5925110132158591,0.6343612334801763,0.6112334801762115,0.5220264317180616,0.5980176211453745,0.7444933920704846,0.6718061674008811,0.6784140969162996,0.10792951541850221,0.7048458149779736,0.6883259911894273,0.3700440528634361,0.6740088105726872,0.2918502202643172,0.22577092511013216,0.21145374449339208,0.20484581497797358,0.9449339207048458,0.5077092511013216,0.8281938325991189,0.21475770925110127,0.10792951541850215,0.01541850220264318,0.011013215859030812,0.8667400881057269,0.6002202643171806,0.7466960352422908,0.9240088105726872,0.19383259911894268,0.08590308370044053,0.6420704845814978,0.8458149779735683,0.3502202643171806,0.579295154185022,0.46365638766519823,0.22246696035242292,0.7797356828193832,0.28744493392070486,0.5881057268722467,0.8931718061674009
Kendrick Nunn,0.24008810572687225,0.43942731277533037,0.4977973568281938,0.2544052863436123,0.5759911894273128,0.5848017621145375,0.5352422907488987,0.3865638766519824,0.42731277533039647,0.2422907488986784,0.2830396475770925,0.19162995594713655,0.15198237885462554,0.8094713656387665,0.06387665198237885,0.13325991189427314,0.11013215859030837,0.4107929515418502,0.26762114537444937,0.11894273127753303,0.5374449339207048,0.9306167400881057,0.43612334801762115,0.501101321585903,0.29955947136563876,0.22356828193832598,0.670704845814978,0.06828193832599119,0.15859030837004406,0.20044052863436124,0.17070484581497797,0.6178414096916299,0.512114537444934,0.15638766519823788,0.4416299559471366,0.8149779735682819,0.031938325991189426,0.3799559471365639,0.10682819383259912,0.07048458149779736,0.3237885462555066,0.09140969162995595,0.16299559471365638,0.0947136563876652,0.8854625550660793,0.6409691629955947,0.8700440528634361,0.7400881057268722,0.21365638766519823,0.7147577092511013,0.9515418502202643,0.6046255506607929,0.44052863436123346,0.28083700440528636,0.3766519823788546,0.3535242290748899,0.37885462555066074,0.42951541850220265,0.8788546255506609,0.8942731277533039,0.14317180616740088,0.44933920704845814,0.381057268722467,0.1211453744493392,0.3909691629955947,0.7301762114537445,0.17400881057268722,0.1762114537444934,0.09691629955947137,0.13656387665198239,0.5936123348017621,0.6828193832599119,0.31938325991189426,0.5044052863436124,0.2533039647577093,0.17070484581497797
Frank Ntilikina,0.3513215859030837,0.02753303964757709,0.08259911894273128,0.048458149779735685,0.24118942731277532,0.2643171806167401,0.15198237885462554,0.07929515418502203,0.09251101321585903,0.17400881057268722,0.03524229074889868,0.19162995594713655,0.1949339207048458,0.17290748898678415,0.01762114537444934,0.11013215859030837,0.05616740088105727,0.3667400881057269,0.15528634361233482,0.11894273127753303,0.7698237885462555,0.7180616740088106,0.046255506607929514,0.501101321585903,0.00881057268722467,0.039647577092511016,0.7015418502202643,0.5583700440528634,0.05506607929515418,0.23348017621145375,0.1354625550660793,0.5671806167400881,0.43392070484581496,0.35462555066079293,0.12885462555066074,0.14427312775330398,0.042951541850220265,0.19823788546255505,0.03524229074889868,0.039647577092511016,0.015418502202643172,0.30837004405286345,0.015418502202643172,0.02753303964757709,0.8854625550660793,0.3909691629955947,0.1751101321585903,0.31387665198237885,0.1762114537444934,0.7301762114537445,0.8777533039647577,0.6861233480176211,0.44052863436123346,0.28083700440528636,0.8810572687224669,0.8854625550660793,0.711453744493392,0.7048458149779735,0.6398678414096917,0.8612334801762115,0.23788546255506607,0.5352422907488987,0.41629955947136565,0.17400881057268722,0.8568281938325991,0.9416299559471366,0.08039647577092511,0.19823788546255505,0.6828193832599119,0.028634361233480177,0.037444933920704845,0.6828193832599119,0.31938325991189426,0.05947136563876652,0.09251101321585903,0.34140969162995594
Jaylen Nowell,0.24008810572687225,0.7059471365638766,0.7180616740088106,0.42731277533039647,0.5407488986784141,0.6497797356828194,0.22466960352422907,0.7136563876651982,0.711453744493392,0.5077092511013216,0.2444933920704846,0.5451541850220264,0.5198237885462555,0.5363436123348018,0.3931718061674009,0.3568281938325991,0.32268722466960353,0.6079295154185022,0.4966960352422907,0.11894273127753303,0.4702643171806168,0.5980176211453745,0.6662995594713657,0.501101321585903,0.539647577092511,0.2092511013215859,0.42290748898678415,0.2709251101321586,0.42841409691629956,0.33480176211453744,0.3656387665198238,0.6828193832599119,0.670704845814978,0.04405286343612335,0.8248898678414097,0.8469162995594713,0.17841409691629956,0.5330396475770925,0.34140969162995594,0.19823788546255505,0.42841409691629956,0.20044052863436124,0.29405286343612336,0.183920704845815,0.8854625550660793,0.289647577092511,0.4911894273127753,0.6156387665198237,0.43502202643171806,0.724669603524229,0.8931718061674009,0.6696035242290749,0.44052863436123346,0.28083700440528636,0.4801762114537445,0.4856828193832599,0.3513215859030837,0.5187224669603524,0.61784140969163,0.711453744493392,0.566079295154185,0.737885462555066,0.6057268722466961,0.7026431718061674,0.236784140969163,0.9074889867841409,0.07378854625550661,0.8898678414096917,0.36784140969163,0.5242290748898678,0.5936123348017621,0.43612334801762115,0.566079295154185,0.2687224669603524,0.22246696035242292,0.17951541850220265
Nerlens Noel,0.32158590308370044,0.014317180616740088,0.025330396475770924,0.03634361233480176,0.1211453744493392,0.06607929515418502,0.9845814977973568,0.07929515418502203,0.2092511013215859,0.011013215859030838,0.009911894273127754,0.19162995594713655,0.1949339207048458,0.17290748898678415,0.3931718061674009,0.3568281938325991,0.34801762114537443,0.11894273127753303,0.7698237885462555,0.7962555066079295,0.6200440528634361,0.42731277533039647,0.013215859030837005,0.501101321585903,0.07929515418502203,0.016519823788546256,0.09581497797356828,0.7786343612334802,0.6729074889867841,0.8314977973568282,0.7676211453744494,0.18502202643171806,0.9977973568281938,0.9306167400881057,0.01541850220264318,0.1013215859030837,0.0881057268722467,0.13876651982378854,0.05506607929515418,0.06607929515418502,0.011013215859030838,0.9845814977973568,0.1343612334801762,0.2610132158590308,0.10792951541850221,0.7048458149779736,0.8700440528634361,0.04955947136563876,0.1145374449339207,0.2918502202643172,0.22577092511013216,0.21145374449339208,0.4856828193832599,0.8788546255506607,0.015418502202643172,0.10352422907488987,0.7444933920704846,0.37885462555066074,0.21916299559471364,0.38215859030837007,0.14317180616740088,0.8667400881057269,0.09801762114537445,0.02643171806167401,0.9074889867841409,0.20374449339207049,0.7202643171806168,0.02643171806167401,0.11784140969162996,0.5242290748898678,0.0022026431718061676,0.09140969162995595,0.9107929515418502,0.8370044052863436,0.022026431718061675,0.4889867841409692
