,Player,2022-23
0,Stephen Curry,48070014
1,Russell Westbrook,47559433
2,LeBron James,44474988
3,Kevin Durant,44119845
4,Bradley Beal,43279250
5,Damian Lillard,42492492
6,Giannis Antetokounmpo,42492492
7,Paul George,42492492
8,Kawhi Leonard,42492492
9,John Wall,47345760
10,Klay Thompson,40600080
11,Kyrie Irving,38917057
12,Rudy Gobert,38172414
13,Anthony Davis,37980720
14,Khris Middleton,37948276
15,Jimmy Butler,37653300
16,Tobias Harris,37633050
17,Trae Young,37096500
18,Luka Dončić,37096500
19,Zach LaVine,37096500
21,Ben Simmons,35448672
22,Pascal Siakam,35448672
23,Myles Turner,35069500
24,Devin Booker,33833400
25,Karl-Anthony Towns,33833400
26,Kristaps Porziņģis,33833400
27,Jrue Holiday,33665040
28,Joel Embiid,33616770
29,Andrew Wiggins,33616770
30,CJ McCollum,33333333
31,Nikola Jokić,33047803
32,James Harden,33000000
33,Brandon Ingram,31650600
34,Jamal Murray,31650600
35,D'Angelo Russell,31377750
36,Shai Gilgeous-Alexander,30913750
37,Michael Porter Jr.,30913750
38,Deandre Ayton,30913750
39,Donovan Mitchell,30913750
40,De'Aaron Fox,30351780
42,Bam Adebayo,30351780
43,Jayson Tatum,30351780
44,Gordon Hayward,30075000
45,Jaren Jackson Jr.,28946605
46,Kevin Love,32056968
47,Jaylen Brown,28741071
48,Chris Paul,28400000
49,Kyle Lowry,28333334
50,Jalen Brunson,27733332
51,Kemba Walker,37281261
52,DeMar DeRozan,27300000
53,Al Horford,26500000
54,Draymond Green,25806468
55,Julius Randle,23760000
56,John Collins,23500000
57,Mike Conley,22680000
58,Malcolm Brogdon,22600000
59,Anfernee Simons,22321429
60,Nikola Vučević,22000000
61,Terry Rozier,21486316
63,Fred VanVleet,21250000
64,Buddy Hield,21177750
65,Jerami Grant,20955000
66,Mikal Bridges,20100000
67,Jarrett Allen,20000000
68,Aaron Gordon,19690909
69,Tim Hardaway Jr.,19602273
70,Eric Gordon,19568360
71,Bojan Bogdanović,19550000
72,Lonzo Ball,19534884
73,Spencer Dinwiddie,19500000
74,Caris LeVert,18796296
75,Clint Capela,18706896
76,Joe Harris,18642857
77,Domantas Sabonis,18500000
78,Harrison Barnes,18352273
79,Evan Fournier,18000000
80,Bogdan Bogdanović,18000000
81,Steven Adams,17926829
82,Gary Trent Jr.,17505000
84,Jonathan Isaac,17400000
85,OG Anunoby,17357143
86,Marcus Smart,17207142
87,Mitchell Robinson,17045454
88,Duncan Robinson,16902000
89,Derrick White,16892857
90,Norman Powell,16758621
91,Dejounte Murray,16571120
92,Collin Sexton,16500000
93,Markelle Fultz,16500000
94,Lauri Markkanen,16475454
95,Marcus Morris,16372093
96,Dāvis Bertāns,16000000
97,Jusuf Nurkić,15625000
98,Malik Beasley,15558035
99,Luguentz Dort,15277778
100,Tyus Jones,15000000
101,Jonas Valančiūnas,14700000
102,Derrick Rose,14520730
103,Kevin Huerter,14508929
105,Luke Kennard,14415545
106,Will Barton,14807642
107,Christian Wood,14317459
108,Wendell Carter Jr.,14150000
109,Kentavious Caldwell-Pope,14004703
110,Brook Lopez,13906976
111,Doug McDermott,13750000
112,Zion Williamson,13534817
113,Jordan Clarkson,13340000
114,Kyle Kuzma,13000000
115,Danilo Gallinari,19479000
116,Patrick Beverley,13506508
117,Gary Harris,13000000
118,Josh Hart,12960000
119,Dorian Finney-Smith,12939848
120,Kelly Olynyk,12804878
121,Chris Boucher,12690000
122,Kelly Oubre Jr.,12600000
123,Marvin Bagley III,12500000
124,Robert Covington,12307692
126,Josh Richardson,12196094
127,Ja Morant,12119440
128,Devonte' Graham,11550000
129,Terrence Ross,12080373
130,Dillon Brooks,11400000
131,Richaun Holmes,11215260
132,Reggie Jackson,11795633
133,Dwight Powell,11080125
134,Paolo Banchero,11055120
135,Robert Williams,10937502
136,RJ Barrett,10900635
137,Bobby Portis,10843350
138,Nicolas Batum,19700319
139,Anthony Edwards,10733400
140,Cade Cunningham,10552800
141,P.J. Tucker,10490000
142,Mo Bamba,10300000
