Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
Stephen Curry, Point Guard, Right,1988-03-14,Davidson,2009-10-28,14,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg,188,83,Golden State Warriors,2009,1st round
Kevin Durant," Small Forward, Power Forward, and Shooting Guard", Right,1988-09-29,Texas,2007-10-31,15,https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,208,108,Seattle SuperSonics,2007,1st round
Nikola Jokić, Center, Right,1995-02-19,No College,2015-10-28,8,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,211,128,Denver Nuggets,2014,2nd round
Joel Embiid, Center, Right,1994-03-16,Kansas,2016-10-26,7,https://www.basketball-reference.com/req/202106291/images/headshots/embiijo01.jpg,213,127,Philadelphia 76ers,2014,1st round
LeBron James," Small Forward, Power Forward, Point Guard, Center, and Shooting Guard", Right,1984-12-30,No College,2003-10-29,20,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg,206,113,Cleveland Cavaliers,2003,1st round
Bradley Beal, Shooting Guard, Right,1993-06-28,Florida,2012-10-30,11,https://www.basketball-reference.com/req/202106291/images/headshots/bealbr01.jpg,193,93,Washington Wizards,2012,1st round
Damian Lillard, Point Guard, Right,1990-07-15,Weber State,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/lillada01.jpg,188,88,Portland Trail Blazers,2012,1st round
Giannis Antetokounmpo," Power Forward, Small Forward, Point Guard, and Shooting Guard", Right,1994-12-06,No College,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/antetgi01.jpg,213,109,Milwaukee Bucks,2013,1st round
Kawhi Leonard, Small Forward, Right,1991-06-29,San Diego State,2011-12-26,11,https://www.basketball-reference.com/req/202106291/images/headshots/leonaka01.jpg,201,102,Indiana Pacers,2011,1st round
Paul George," Small Forward, Shooting Guard, and Power Forward", Right,1990-05-02,Fresno State,2010-10-27,13,https://www.basketball-reference.com/req/202106291/images/headshots/georgpa01.jpg,203,99,Indiana Pacers,2010,1st round
Jimmy Butler," Small Forward, Shooting Guard, and Power Forward", Right,1989-09-14,Marquette,2012-01-01,12,https://www.basketball-reference.com/req/202106291/images/headshots/butleji01.jpg,201,104,Chicago Bulls,2011,1st round
Klay Thompson, Shooting Guard and Small Forward, Right,1990-02-08,Washington State,2011-12-25,10,https://www.basketball-reference.com/req/202106291/images/headshots/thompkl01.jpg,198,97,Golden State Warriors,2011,1st round
Rudy Gobert, Center, Right,1992-06-26,No College,2013-10-30,10,https://www.basketball-reference.com/req/202106291/images/headshots/goberru01.jpg,216,117,Denver Nuggets,2013,1st round
Fred VanVleet, Point Guard and Shooting Guard, Right,1994-02-25,Wichita State,2016-11-09,7,https://www.basketball-reference.com/req/202106291/images/headshots/vanvlfr01.jpg,185,89,Not Drafted,Not Drafted,Not Drafted
Anthony Davis, Center and Power Forward, Right,1993-03-11,Kentucky,2012-10-31,11,https://www.basketball-reference.com/req/202106291/images/headshots/davisan02.jpg,208,114,New Orleans Hornets,2012,1st round
Trae Young, Point Guard, Right,1998-09-19,Oklahoma,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/youngtr01.jpg,185,74,Dallas Mavericks,2018,1st round
Luka Dončić, Point Guard and Shooting Guard, Right,1999-02-28,No College,2018-10-17,5,https://www.basketball-reference.com/req/202106291/images/headshots/doncilu01.jpg,201,104,Atlanta Hawks,2018,1st round
Zach LaVine," Shooting Guard, Small Forward, and Point Guard", Right,1995-03-10,UCLA,2014-10-30,9,https://www.basketball-reference.com/req/202106291/images/headshots/lavinza01.jpg,196,90,Minnesota Timberwolves,2014,1st round
Tobias Harris, Power Forward and Small Forward, Right,1992-07-15,Tennessee,2012-01-07,12,https://www.basketball-reference.com/req/202106291/images/headshots/harrito02.jpg,203,102,Charlotte Bobcats,2011,1st round
Ben Simmons, Point Guard, Left,1996-07-20,LSU,2017-10-18,5,https://www.basketball-reference.com/req/202106291/images/headshots/simmobe01.jpg,208,108,Philadelphia 76ers,2016,1st round
